,id_transcricao,data_reuniao,setor,porte_empresa,canal,produto_principal,transcricao,risco_de_churn,oportunidade_upsell,mencao_concorrente
0,T001,2026-04-11,Indústria,Média,Zoom,Protheus,durante reuniao empresa setor industria porte media equipe comercial observou utiliza principalmente modulo protheus sinalizou possibilidade upgrade contrato alem disso validada necessidade treinamento usuarioschave existe expectativa ganho produtividade automacao fluxo aprovacao cliente espera melhoria perceptivel antes ampliar escopo,0,1,0
1,T002,2026-05-05,Saúde,Grande,Teams,Analytics,durante reuniao empresa setor saude porte grande diretora financeira explicou utiliza principalmente modulo analytics demonstrou abertura piloto dashboard gerencial alem disso mencionou risco cancelamento problema persistir conversa reforcou necessidade padronizacao cadastro qualidade dados sugerida prova conceito validar aderencia,1,0,0
2,T003,2026-04-15,Saúde,Grande,Google Meet,BI,durante reuniao empresa setor saude porte grande cliente relatou utiliza principalmente modulo bi interesse ampliar uso sistema alem disso validada necessidade treinamento usuarioschave time interno considera importante acelerar adocao usuarios finais time pediu acompanhamento quinzenal medir evolucao cliente reforcou urgente: quer reduzir retrabalho financeiro pediu retorno rapido,0,1,0
3,T004,2026-04-26,Indústria,Pequena,Zoom,Financeiro,durante reuniao empresa setor industria porte pequena gerente rh informou utiliza principalmente modulo financeiro listadas pendencias proxima sprint alem disso cliente pediu documentacao tecnica complementar area negocio pediu alertas automaticos acompanhar desvios criticos proxima etapa sera consolidar requisitos priorizar entregas,0,0,0
4,T005,2026-05-08,Educação,Grande,Zoom,Analytics,durante reuniao empresa setor educacao porte grande responsavel projeto destacou utiliza principalmente modulo analytics mostrou interesse modulo fiscal relatorios inteligentes alem disso validada necessidade treinamento usuarioschave existe expectativa ganho produtividade automacao fluxo aprovacao proxima etapa sera consolidar requisitos priorizar entregas,0,1,0
5,T006,2026-04-10,Distribuição,Média,Teams,ERP,durante reuniao empresa setor distribuicao porte media gestor comentou utiliza principalmente modulo erp mencionou risco cancelamento problema persistir alem disso grupo revisou perfis acesso regras negocio cliente quer reduzir trabalho manual centralizar dados unica plataforma sugerida prova conceito validar aderencia,1,0,0
6,T007,2026-05-06,Construção,Grande,Presencial,Fluig,durante reuniao empresa setor construcao porte grande analista ti afirmou utiliza principalmente modulo fluig reuniao foco mapeamento processo atual alem disso discutidos responsaveis prazos proximos passos area negocio pediu alertas automaticos acompanhar desvios criticos cliente espera melhoria perceptivel antes ampliar escopo,0,0,0
7,T008,2026-04-30,Logística,Pequena,Zoom,Manufatura,durante reuniao empresa setor logistica porte pequena diretora financeira explicou utiliza principalmente modulo manufatura interesse ampliar uso sistema alem disso revisao indicadores serao acompanhados mencionado concorrencia apresentou proposta agressiva decisao dependera percepcao valor proximas semanas,0,1,1
8,T009,2026-04-13,Indústria,Grande,Zoom,Fluig,durante reuniao empresa setor industria porte grande time atendimento apontou utiliza principalmente modulo fluig quer integrar crm erp ainda neste semestre alem disso validada necessidade treinamento usuarioschave mencionado concorrencia apresentou proposta agressiva decisao dependera percepcao valor proximas semanas,0,1,1
9,T010,2026-04-08,Distribuição,Pequena,Zoom,Protheus,durante reuniao empresa setor distribuicao porte pequena cliente relatou utiliza principalmente modulo protheus sinalizou possibilidade upgrade contrato alem disso disse time sobrecarregado retrabalho existe expectativa ganho produtividade automacao fluxo aprovacao ficou combinado retornar plano acao nova demonstracao,1,1,0
10,T011,2026-04-05,Educação,Grande,Teams,CRM,durante reuniao empresa setor educacao porte grande gerente rh informou utiliza principalmente modulo crm quer integrar crm erp ainda neste semestre alem disso mencionou risco cancelamento problema persistir conversa reforcou necessidade padronizacao cadastro qualidade dados decisao dependera percepcao valor proximas semanas,1,1,0
11,T012,2026-05-15,Serviços,Média,Presencial,Financeiro,durante reuniao empresa setor servicos porte media supervisor fiscal comentou utiliza principalmente modulo financeiro equipe alinhou cronograma nova rodada testes alem disso revisao indicadores serao acompanhados time interno considera importante acelerar adocao usuarios finais cliente espera melhoria perceptivel antes ampliar escopo obs: mencao dashboard tempo real necessidade integracao via api,0,0,0
12,T013,2026-04-15,Logística,Média,Presencial,CRM,durante reuniao empresa setor logistica porte media coordenador operacoes disse utiliza principalmente modulo crm avaliando contratar modulo analytics alem disso validada necessidade treinamento usuarioschave tambem apareceu necessidade melhorar visibilidade indicadores diretoria decisao dependera percepcao valor proximas semanas,0,1,0
13,T014,2026-05-16,Distribuição,Pequena,Google Meet,ERP,durante reuniao empresa setor distribuicao porte pequena gestor comentou utiliza principalmente modulo erp relatou lentidao horarios pico alem disso equipe alinhou cronograma nova rodada testes cliente quer reduzir trabalho manual centralizar dados unica plataforma ficou combinado retornar plano acao nova demonstracao,1,0,0
14,T015,2026-04-14,Logística,Pequena,,Fiscal,durante reuniao empresa setor logistica porte pequena gerente rh informou utiliza principalmente modulo fiscal quer integrar crm erp ainda neste semestre alem disso registrou atraso recorrente fechamento financeiro existe expectativa ganho produtividade automacao fluxo aprovacao sugerida prova conceito validar aderencia,1,1,0
15,T016,2026-04-23,Construção,Pequena,Teams,CRM,durante reuniao empresa setor construcao porte pequena responsavel projeto destacou utiliza principalmente modulo crm afirmou usuarios evitam usar algumas telas complexidade alem disso grupo revisou perfis acesso regras negocio conversa reforcou necessidade padronizacao cadastro qualidade dados cliente espera melhoria perceptivel antes ampliar escopo,1,0,0
16,T017,2026-04-22,Varejo,Grande,Teams,ERP,durante reuniao empresa setor varejo porte grande responsavel projeto destacou utiliza principalmente modulo erp citou insatisfacao suporte ultimo mes alem disso equipe alinhou cronograma nova rodada testes existe expectativa ganho produtividade automacao fluxo aprovacao proxima etapa sera consolidar requisitos priorizar entregas,1,0,0
17,T018,2026-04-18,Distribuição,Média,Google Meet,Manufatura,durante reuniao empresa setor distribuicao porte media diretora financeira explicou utiliza principalmente modulo manufatura registrou atraso recorrente fechamento financeiro alem disso equipe alinhou cronograma nova rodada testes cliente quer reduzir trabalho manual centralizar dados unica plataforma sugerida prova conceito validar aderencia,1,0,0
